Attendance (%),Internal Test 1 (out of 40),Internal Test 2 (out of 40),Assignment Score (out of 10),Daily Study Hours,Final Exam Marks (out of 100)
77,27,29,5,3,51
91,38,30,8,2,63
72,31,21,6,3,47
85,33,38,8,3,67
99,39,38,9,2,79
70,27,32,7,2,50
88,35,34,9,2,69
81,36,30,8,2,66
98,38,38,8,3,74
70,30,28,6,2,44
74,30,26,7,3,50
100,33,34,8,2,71
81,40,39,10,3,77
84,34,32,8,3,68
82,32,31,7,3,65
90,35,39,8,3,70
82,28,26,6,3,57
83,30,32,9,3,64
77,29,25,8,2,38
87,30,40,9,4,84
89,36,32,7,2,59
94,27,29,7,3,69
90,32,26,6,2,56
88,31,33,7,4,72
84,33,32,7,2,67
96,38,33,9,2,79
75,24,25,6,2,43
81,37,39,8,3,75
81,28,33,7,3,62
78,29,38,8,3,69
87,32,25,5,3,60
83,32,32,7,3,59
90,40,38,8,4,85
76,33,35,7,2,48
86,27,31,6,2,59
96,33,40,10,3,84
78,24,28,6,2,53
81,34,35,9,4,70
87,34,33,8,3,69
79,34,30,8,3,55
80,34,26,7,3,58
80,32,31,6,3,59
83,36,35,9,3,83
78,26,34,8,3,64
100,40,37,9,4,93
77,30,28,8,3,56
83,36,35,8,2,71
99,31,40,9,3,75
85,29,39,7,3,75
86,24,29,7,3,50
69,32,25,7,2,50
91,37,34,9,3,77
89,33,36,9,4,74
85,33,31,7,3,58
77,30,35,7,3,61
81,29,29,7,3,53
84,38,38,8,3,71
93,27,32,7,3,64
87,25,36,8,3,66
68,36,25,7,2,53
72,28,22,6,3,41
80,30,33,8,2,61
93,40,33,9,3,76
71,27,25,6,3,44
84,33,25,7,3,52
82,32,33,7,3,64
83,26,35,7,2,62
92,32,34,8,3,70
94,40,33,9,2,74
86,35,31,8,2,64
71,29,32,7,3,58
92,37,31,8,2,74
94,38,37,7,4,82
78,37,29,7,3,65
78,27,35,7,3,58
96,40,40,10,3,93
78,30,30,5,3,47
93,30,32,8,3,63
88,35,33,8,4,76
91,30,33,7,2,73
85,38,28,8,3,71
91,34,31,7,3,52
71,30,29,7,3,49
77,29,31,7,3,64
78,27,33,7,3,58
80,32,34,7,2,64
84,34,31,7,3,65
89,35,30,8,4,70
90,31,32,8,3,72
73,29,37,7,2,59
86,37,35,8,3,66
80,22,33,6,3,48
77,25,34,8,3,60
96,38,32,9,3,77
82,35,28,7,4,71
86,25,37,8,3,66
78,28,32,8,3,59
90,33,37,9,3,74
81,23,27,6,2,49
79,25,31,6,3,59
79,27,22,6,2,36
91,26,34,6,2,71
97,33,40,8,4,84
90,40,37,9,4,84
71,34,31,9,3,64
82,31,32,7,4,63
100,31,37,8,3,74
88,26,28,5,4,60
82,28,31,7,3,56
86,30,34,8,2,62
75,24,31,6,3,50
83,27,36,7,3,53
79,25,27,6,3,40
82,30,33,7,3,68
89,36,31,8,3,71
93,40,35,7,3,76
77,19,31,6,3,55
74,31,40,9,3,74
88,35,40,8,3,82
87,36,32,7,3,68
89,35,36,8,3,73
76,29,35,9,2,57
91,40,36,8,3,78
80,25,30,6,3,58
92,29,36,7,3,63
89,37,32,8,4,77
86,32,33,8,3,63
78,27,31,6,2,53
76,28,27,8,3,51
79,27,26,6,2,46
77,25,29,6,3,50
87,36,27,8,3,59
83,38,31,8,3,71
86,30,35,8,3,68
84,28,40,7,2,64
86,33,29,7,2,65
85,39,35,9,3,76
84,32,27,7,3,59
87,32,37,7,3,71
75,32,26,7,3,49
78,34,31,8,2,64
80,28,27,8,2,58
65,29,24,7,1,51
97,36,33,8,3,74
79,26,24,7,2,41
86,35,30,7,4,66
81,28,27,7,3,64
79,34,28,7,2,50
77,28,26,7,3,51
89,34,35,8,3,83
88,33,35,7,3,70
86,30,30,8,2,64
94,24,40,7,3,75
90,30,30,6,3,56
81,27,25,7,4,50
85,26,29,7,2,57
82,24,32,6,3,53
100,39,40,9,3,91
86,31,33,8,4,70
68,18,28,4,3,49
100,39,35,8,4,85
74,20,35,6,2,52
100,37,37,8,3,82
85,31,37,8,3,78
86,34,34,8,3,70
88,36,34,9,3,80
84,37,40,8,3,77
90,37,31,7,3,71
82,30,33,8,2,66
74,23,25,6,3,40
88,33,35,8,3,68
87,34,28,7,3,68
85,33,37,10,3,81
94,30,36,8,3,77
89,34,32,8,3,70
89,32,34,8,3,70
86,40,40,9,3,80
78,32,24,6,3,49
80,31,34,8,3,64
86,37,40,9,3,81
80,39,28,7,3,65
89,38,26,6,3,62
90,32,32,7,4,68
90,35,30,7,2,75
96,38,40,9,3,81
78,27,31,7,3,68
69,33,34,8,2,46
86,25,35,6,3,58
93,33,38,8,3,80
80,26,21,6,3,44
83,31,30,7,3,65
86,31,32,7,3,64
83,31,37,7,3,57
89,36,34,9,3,69
86,29,26,8,2,60
74,30,31,6,2,54
99,29,32,6,3,61
91,35,37,8,3,80
86,35,34,8,2,66
86,34,31,8,3,70
77,32,33,7,2,53
76,30,31,7,2,50
78,26,26,7,3,51
91,28,35,7,3,63
99,33,40,7,5,83
93,35,40,8,3,76
83,25,26,7,2,46
90,29,29,7,3,62
96,31,37,8,3,74
80,30,27,7,2,51
94,38,35,8,3,76
91,29,30,7,4,74
79,24,34,7,3,58
90,34,35,10,4,77
100,27,35,8,3,79
83,33,32,8,4,67
93,29,32,7,2,63
83,27,33,6,2,54
93,30,34,8,2,54
79,28,32,6,3,60
82,38,35,9,3,80
88,33,28,7,2,63
95,35,40,7,3,80
96,37,40,9,3,86
82,26,35,7,3,65
93,39,38,9,3,87
92,36,40,9,4,85
98,29,40,8,3,79
82,25,26,6,3,52
80,28,35,8,2,65
96,35,37,8,3,74
76,35,29,7,2,52
81,37,29,8,4,65
79,30,28,8,3,60
88,31,34,7,3,60
79,34,28,7,3,64
79,34,34,8,3,64
89,40,30,9,3,70
98,37,37,8,4,86
90,30,36,7,3,60
90,28,34,7,3,73
85,34,37,9,3,76
88,31,30,7,3,66
83,29,31,8,3,67
82,27,34,8,3,57
75,25,31,8,3,50
83,32,37,9,3,77
85,31,27,7,3,57
93,35,37,8,3,73
86,30,26,7,2,53
84,33,36,7,4,72
73,36,34,8,2,65
71,26,35,7,2,47
85,32,37,8,3,67
82,36,29,7,3,66
86,31,28,7,3,66
80,32,32,7,2,60
88,32,34,7,2,76
77,24,33,6,2,46
93,38,33,8,3,76
94,39,34,9,3,81
60,23,16,5,2,31
83,33,27,7,2,54
74,30,31,7,3,62
84,33,30,9,3,62
73,34,28,9,2,62
66,32,21,5,3,40
85,36,26,7,2,60
88,23,27,6,3,53
86,34,31,8,3,62
100,40,40,10,3,86
91,28,31,6,3,59
82,29,35,7,3,61
77,28,27,6,2,55
81,29,34,7,3,61
81,30,29,6,2,54
89,33,32,7,4,73
82,29,32,8,4,69
87,38,29,8,3,65
88,31,38,8,4,75
86,34,33,8,3,67
81,32,29,8,3,48
88,27,36,8,3,63
94,33,34,6,3,65
68,31,27,7,3,48
99,33,35,8,3,75
78,34,31,8,2,56
73,26,29,7,3,53
91,37,29,8,2,66
87,32,39,8,3,75
86,35,29,7,3,60
90,28,33,7,2,67
90,31,30,8,2,60
89,30,33,8,4,68
85,40,34,8,2,76
60,28,26,5,3,40
90,37,37,9,3,83
89,35,33,7,3,64
80,28,36,8,2,59
80,32,34,8,3,62
89,38,31,8,3,74
81,34,37,8,2,73
74,30,29,6,3,58
74,31,31,7,2,49
87,28,30,6,2,54
87,26,37,8,2,60
95,37,27,9,4,68
77,30,28,7,3,47
92,26,33,6,3,59
84,29,27,7,3,53
76,25,27,7,2,47
87,40,39,9,2,76
89,40,40,8,3,80
98,34,37,8,3,77
76,23,29,6,2,39
72,28,24,6,3,45
92,29,28,6,2,61
80,32,30,8,3,58
86,25,37,7,4,63
82,32,30,7,3,64
86,32,28,7,2,62
75,32,28,7,2,60
100,39,34,9,3,84
82,28,40,7,3,68
83,40,36,8,2,72
77,27,29,7,2,52
85,31,38,9,3,67
88,35,33,7,4,72
87,33,34,9,3,75
83,34,28,6,2,55
78,33,22,7,3,59
88,30,37,8,3,65
82,28,28,6,3,53
74,21,35,7,2,49
78,24,30,6,3,52
81,32,36,7,2,74
81,29,28,7,3,59
63,22,27,6,2,44
88,32,39,9,3,78
86,35,34,8,3,67
80,30,31,6,2,50
87,34,24,8,2,65
85,32,30,8,3,60
82,32,32,8,3,62
82,36,38,9,3,81
81,26,35,6,3,54
87,39,29,8,3,73
84,25,31,8,3,60
91,27,36,7,3,58
84,36,34,9,2,66
81,25,26,6,3,53
89,39,34,8,2,68
84,33,35,7,3,64
81,30,36,8,3,63
78,27,30,6,3,63
93,40,27,8,4,73
91,29,35,8,2,62
86,40,33,8,3,72
78,28,32,7,3,59
100,40,40,9,4,87
97,40,30,9,4,75
94,32,37,7,2,61
88,39,36,7,3,76
83,34,30,6,3,59
91,36,35,8,3,78
87,34,35,8,2,73
87,21,40,8,3,62
82,30,34,8,3,52
85,24,27,5,2,51
80,28,21,6,3,48
92,32,39,8,3,76
83,23,34,7,3,55
100,38,26,7,3,70
81,30,25,7,3,64
86,32,37,7,2,65
99,30,36,7,3,73
78,23,35,8,3,63
94,40,24,7,3,68
77,36,31,8,3,67
86,38,29,8,3,76
84,36,35,8,3,75
84,38,26,8,2,57
97,40,36,9,3,81
96,28,34,7,3,76
91,28,35,7,3,69
84,35,38,9,3,73
72,31,34,8,2,61
91,34,30,7,3,69
85,33,28,8,3,59
79,34,28,8,2,54
87,27,23,6,3,55
87,31,40,7,4,78
84,28,40,7,2,60
89,38,36,9,3,76
100,36,38,8,3,77
82,33,29,6,3,68
94,34,31,8,2,66
100,39,35,9,3,83
89,40,32,8,3,75
87,34,34,8,4,72
94,28,34,8,2,62
86,26,36,7,3,62
88,28,33,7,4,65
74,32,24,6,3,57
84,31,32,8,3,71
97,33,31,8,4,68
86,31,31,8,4,67
100,39,39,9,3,86
86,32,34,7,2,59
92,37,34,9,2,75
79,32,31,7,3,62
84,32,37,8,3,70
82,34,29,7,3,66
86,32,33,7,3,67
91,35,34,8,3,77
81,30,32,8,3,64
76,26,26,6,3,50
85,27,23,5,2,42
91,33,30,8,4,70
97,39,31,8,3,78
76,23,26,5,3,42
70,31,37,9,2,65
81,32,29,6,2,60
96,40,37,8,3,84
76,29,29,7,3,49
81,33,32,8,3,52
98,32,40,8,4,83
83,34,33,9,2,69
85,35,31,8,3,68
87,40,29,8,2,63
91,34,33,8,3,74
84,30,40,8,3,67
70,28,29,7,3,61
84,32,32,8,2,61
88,33,27,7,3,62
62,22,22,5,3,36
95,34,40,9,3,63
83,36,28,8,2,67
72,26,28,7,2,42
81,31,37,7,3,57
99,40,37,9,3,81
91,34,34,7,3,60
86,27,34,8,3,66
84,38,34,7,3,71
67,22,27,5,3,41
85,28,34,7,2,47
93,37,39,9,2,79
78,26,26,5,1,48
90,29,35,8,4,71
79,27,32,7,3,62
90,36,32,6,3,69
74,29,26,6,2,42
88,32,31,7,3,64
74,37,27,8,2,59
72,31,29,8,2,53
81,30,33,7,3,58
83,28,33,8,3,61
86,33,38,7,4,82
77,31,32,8,2,62
81,25,37,9,3,72
84,37,29,7,3,56
94,36,35,8,2,68
94,36,36,8,3,81
86,35,38,8,2,73
97,36,38,8,2,79
84,27,23,7,2,51
100,40,38,8,4,88
96,40,33,9,3,71
82,28,20,5,2,46
80,30,29,7,3,62
83,26,29,6,3,51
94,40,33,8,3,77
79,29,33,8,2,52
90,36,39,9,3,73
87,31,30,8,4,73
96,38,34,8,3,74
77,31,29,6,3,57
82,37,33,9,3,65
79,25,31,7,3,48
94,30,32,7,2,65
100,39,38,8,4,82
90,33,38,8,2,73
92,33,30,7,3,60
80,28,32,8,3,62
95,36,30,8,3,76
78,27,33,7,2,51
85,28,38,8,3,68
80,30,35,7,3,63
83,21,29,6,2,54
89,29,35,7,3,78
96,37,31,7,4,71
76,32,35,9,2,69
79,29,37,8,3,61
87,31,29,7,2,53
84,28,32,8,3,67
88,34,33,8,2,69
79,29,35,8,3,59
81,25,26,6,3,48
77,34,35,9,4,72
89,39,34,8,3,80
81,37,36,10,3,76
90,37,29,8,4,72
91,34,32,8,3,71
87,34,31,7,3,63
95,31,31,7,3,63
91,25,34,6,4,69
96,32,40,9,4,74
79,19,30,7,2,43
93,34,29,8,2,69
88,33,36,8,2,66
84,39,39,9,4,77
99,36,38,9,3,87
79,23,31,7,3,57
85,30,32,7,3,63
87,32,21,6,2,55
83,35,33,8,3,66
92,36,30,8,3,72
98,40,36,8,4,90
94,36,30,7,3,68
76,31,30,8,4,56
79,26,27,6,3,44
93,35,40,8,3,75
78,32,32,7,3,65
84,35,31,8,2,62
77,26,24,7,2,45
69,31,28,7,3,54
71,31,33,8,3,59
79,30,34,7,3,65
90,32,27,7,2,54
86,33,30,8,3,68
87,31,33,9,3,68
88,35,35,9,3,76
84,29,33,8,2,66
94,31,40,8,3,70
86,26,35,6,3,58
86,38,33,8,4,83
98,35,33,8,3,77
82,35,31,7,3,71
87,23,35,7,3,56
87,34,34,8,2,63
96,34,26,8,3,65
94,34,32,6,3,75
76,40,21,7,3,55
78,18,30,6,3,49
86,40,35,7,3,73
86,36,21,7,2,61
100,29,40,8,2,82
90,38,40,8,3,82
85,35,34,8,3,68
90,35,36,7,4,78
74,26,30,6,2,50
88,28,32,6,3,53
90,30,35,7,3,68
68,25,28,6,2,45
78,36,26,7,3,60
84,30,36,8,3,67
77,32,26,6,2,52
84,39,29,8,2,64
85,32,38,10,3,68
74,29,31,8,2,56
85,34,25,6,2,60
89,36,35,9,3,69
97,35,40,8,2,71
73,33,30,7,3,58
77,31,36,8,2,63
89,32,34,7,3,59
100,33,34,8,3,70
81,36,35,9,2,79
86,33,34,8,4,74
81,32,33,8,3,62
68,26,25,5,2,46
77,29,36,7,4,63
91,29,40,8,2,71
83,30,24,7,3,54
82,35,29,8,3,71
84,29,28,7,3,65
81,30,28,6,1,52
72,23,28,7,2,41
75,30,27,7,2,51
83,32,38,8,3,66
82,32,31,8,3,71
72,27,23,6,2,43
90,30,33,7,3,70
92,37,33,8,2,70
92,35,32,8,3,77
86,33,35,9,2,66
94,40,40,10,3,84
82,21,26,6,2,44
75,28,30,8,3,55
77,37,37,9,3,66
100,40,40,8,3,100
81,31,32,8,3,59
76,29,34,8,3,61
85,28,33,8,3,67
94,33,33,9,3,70
89,40,29,8,3,68
85,31,33,6,3,67
92,34,27,6,2,58
85,30,35,8,3,67
76,26,21,7,2,48
78,36,28,8,3,63
91,31,35,7,3,71
74,38,28,8,4,65
81,25,30,7,3,58
90,30,39,8,3,72
80,32,35,8,2,53
94,38,32,8,3,73
80,29,32,5,3,50
79,30,26,7,3,53
96,37,32,8,2,76
74,30,27,7,2,43
65,23,25,6,2,38
78,34,33,7,3,70
85,33,34,8,4,72
85,27,28,6,2,53
92,34,38,8,2,74
85,35,40,9,4,86
76,27,32,7,3,57
82,28,40,7,3,69
77,35,27,7,3,67
79,37,30,8,3,67
91,39,31,8,3,82
85,32,28,7,3,58
86,33,39,8,3,77
98,40,30,7,3,73
87,31,33,8,3,64
76,21,29,5,3,41
79,39,29,8,3,63
85,30,32,7,4,62
73,29,28,6,2,50
94,34,33,6,3,70
79,31,27,8,3,68
75,28,26,5,3,51
86,39,26,7,3,63
99,33,33,7,2,69
89,31,38,9,2,69
94,37,35,8,3,82
86,30,30,8,3,58
82,35,29,7,3,66
84,22,34,6,3,52
87,39,28,8,3,82
90,36,35,8,3,76
77,25,28,6,2,42
80,34,33,7,3,63
93,35,36,9,3,81
99,36,40,9,2,85
99,40,40,9,4,94
100,32,35,8,3,75
96,32,40,8,3,76
68,22,26,5,1,39
94,30,40,7,3,68
78,34,30,7,3,65
90,27,21,6,3,51
77,30,33,7,3,60
88,24,37,6,2,56
89,37,39,10,3,89
91,30,36,9,3,73
74,25,28,6,3,38
90,39,33,8,3,71
89,36,39,9,3,85
78,29,23,7,2,53
100,32,37,7,3,78
88,35,36,8,4,83
80,35,33,6,4,58
83,25,29,6,3,58
91,37,40,10,4,86
76,32,23,6,2,49
74,36,29,7,2,54
88,30,33,7,3,67
76,30,30,7,3,48
100,37,40,10,3,86
92,30,29,9,3,65
93,32,35,6,2,66
94,36,38,7,3,79
86,32,32,7,2,61
78,29,34,8,3,64
80,34,25,6,3,56
92,36,33,7,3,72
80,25,39,7,3,61
75,28,24,5,2,37
92,40,40,8,2,75
98,39,33,7,3,78
75,27,25,6,4,45
90,32,32,7,3,63
87,29,26,7,3,50
91,37,29,7,3,71
87,36,30,9,3,70
89,34,39,9,3,73
87,32,32,8,2,64
95,38,40,10,3,81
89,29,38,9,3,75
82,33,25,6,4,59
69,27,25,6,2,42
88,36,34,8,3,76
81,24,30,6,3,54
78,33,30,7,3,66
80,32,29,8,3,53
89,32,39,8,3,72
98,37,33,8,4,74
97,30,32,8,3,63
99,37,40,8,3,79
88,40,34,8,3,68
81,35,28,8,2,58
82,31,33,7,3,66
83,29,32,6,3,55
90,29,34,8,2,66
84,37,32,8,2,61
85,27,40,7,3,66
87,32,39,8,3,70
85,33,35,9,4,81
71,22,33,7,2,40
89,38,31,7,3,61
92,36,31,8,3,65
89,33,39,8,3,70
86,27,22,7,2,51
71,28,26,6,3,49
100,37,35,9,3,79
76,33,30,6,2,55
81,39,29,8,3,72
82,27,39,7,4,77
95,34,34,8,4,76
85,32,39,8,2,66
84,30,21,7,2,53
83,32,34,8,3,63
83,28,27,6,3,55
88,36,30,8,3,60
86,37,29,8,3,69
85,33,24,8,3,67
97,34,40,8,4,86
84,31,39,8,3,69
100,33,30,8,3,68
78,29,36,8,3,68
78,31,35,9,3,66
100,40,39,9,3,89
85,30,28,7,3,63
93,31,35,8,3,68
76,34,37,8,3,65
